sceAta_driver
  0xB176BB2E, sceAtaInit
  0x071D3D4D, sceAtaTerm
  0xD1E6E175, sceAta_driver_D1E6E175
  0xAC800B1D, sceAta_driver_AC800B1D
  0xC8BC8B83, sceAtaStart
  0xCDC50BF0, sceAtaStop
  0x52D9A4CA, sceAtaGetAtaDrive
  0xEBB91566, sceAtaSetupAtaBlock
  0x6C58F096, sceAta_driver_6C58F096
  0xC21318E6, sceAta_driver_C21318E6
  0xA77C230B, sceAta_driver_A77C230B
  0x3AA3FA39, sceAtaSelectDevice
  0xACCEE63F, sceAta_driver_ACCEE63F
  0x6E639701, sceAtaScanDevice
  0xB863FD83, sceAtaCheckDeviceReady
  0xB6BED47E, sceAtaAccessDataPort
  0x6DE1C65F, sceAtaAccessDataPortIE
  0x0B53CAD8, sceAta_driver_0B53CAD8
  0x1DF6C4D2, sceAtaExecCmd
  0xAB66789B, sceAtaExecCmdIE
  0xC74F04B7, sceAtaExecPacketCmd
  0xBDD30DEE, sceAtaExecPacketCmdIE
  0x010F750B, sceAta_driver_010F750B
  0x9CA52F94, sceAta_driver_9CA52F94
  0xBDEA51A5, sceAta_driver_BDEA51A5
  0xB9C9F2E4, sceAta_driver_B9C9F2E4
  0xFDDF4C74, sceAta_driver_FDDF4C74
  0xC4060B8A, sceAta_driver_C4060B8A
  0x84E14690, sceAta_driver_84E14690
  0xC7B02795, sceAta_driver_C7B02795
  0x1F05F48C, sceAta_driver_1F05F48C
  0xBA09142A, sceAta_driver_BA09142A
  0x1C8DA2FD, sceAta_driver_1C8DA2FD
  0x2AE26E08, sceAta_driver_2AE26E08
  0x9D98086E, sceAta_driver_9D98086E
  0x689FCB7D, sceAta_driver_689FCB7D
  0xC144826E, sceAta_driver_C144826E
  0xFCF939D9, sceAtaGetAtaCallBack
  0x298DDC3D, sceAta_driver_298DDC3D
  0xF6AC2E5D, sceAta_driver_F6AC2E5D
  0xF76A5B9C, sceAta_driver_F76A5B9C
  0xAE100256, sceAta_driver_AE100256
  0x4222D6F3, sceAta_driver_4222D6F3
  0x4D225674, sceAta_driver_4D225674
  0x01248DA2, sceAta_driver_01248DA2
  0x7DE9E14A, sceAta_driver_7DE9E14A
  0x2E32045A, sceAta_driver_2E32045A
  0x1E6202F8, sceAta_driver_1E6202F8
  0xE3F01009, sceAta_driver_E3F01009
  0xF512A273, sceAta_driver_F512A273
  0x4844EB0C, sceAta_driver_4844EB0C
  0xD6BF0B85, sceAta_driver_D6BF0B85
  0xAC84FF0A, sceAta_driver_AC84FF0A
  0x943FC7AC, sceAta_driver_943FC7AC
  0x322460B6, sceAta_driver_322460B6
  0xF61EAFC0, sceAta_driver_F61EAFC0
  0x76C0923D, sceAta_driver_76C0923D
  0xE3E1EED7, sceAta_driver_E3E1EED7
  0xA62258FD, sceAtaBufferSelectSemaphore
  0xC10F87AB, sceAta_driver_C10F87AB
  0xB985F2B0, sceAta_driver_B985F2B0
  0x8CADA96B, sceAta_driver_8CADA96B
  0x7C6B31D8, sceAta_driver_7C6B31D8
  0x6FD8E2AB, sceAta_driver_6FD8E2AB
  0x9AE67E14, sceAtaGetDriveStat
  0x110D3739, sceAtaSetDriveStat
  0x7BBA095C, sceAtaClearDriveStat
  0x3A61BF97, sceAta_driver_3A61BF97
  0xACFF7CB5, sceAta_driver_ACFF7CB5
  0xBE07B3A7, sceAta_driver_BE07B3A7
  0xD8E525CB, sceAtaGetIntrFlag
  0xB7F5B2CA, sceAtaSetIntrFlag
  0x638EEA14, sceAta_driver_638EEA14
  0xB5982381, sceAta_driver_B5982381
sceAudio_driver
  0x80F1F7E0, sceAudioInit
  0x210567F7, sceAudioEnd
  0xA2BEAA6C, sceAudioSetFrequency
  0xB61595C0, sceAudioLoopbackTest
  0x927AC32B, sceAudioSetVolumeOffset
  0x8C1009B2, sceAudioOutput
  0x136CAF51, sceAudioOutputBlocking
  0xE2D56B2D, sceAudioOutputPanned
  0x13F592BC, sceAudioOutputPannedBlocking
  0x5EC81C55, sceAudioChReserve
  0x41EFADE7, sceAudioOneshotOutput
  0x6FC46853, sceAudioChRelease
  0xE9D97901, sceAudioGetChannelRestLen
  0xCB2E439E, sceAudioSetChannelDataLen
  0x95FD0C2D, sceAudioChangeChannelConfig
  0xB7E1D8E7, sceAudioChangeChannelVolume
  0x38553111, sceAudio_driver_38553111
  0x5C37C0AE, sceAudio_driver_5C37C0AE
  0xE0727056, sceAudio_driver_E0727056
  0x086E5895, sceAudioInputBlocking
  0x6D4BEC68, sceAudioInput
  0xA708C6A6, sceAudioGetInputLength
  0x87B2E651, sceAudioWaitInputEnd
  0x7DE61688, sceAudioInputInit
sceAudio
  0x8C1009B2, sceAudioOutput
  0x136CAF51, sceAudioOutputBlocking
  0xE2D56B2D, sceAudioOutputPanned
  0x13F592BC, sceAudioOutputPannedBlocking
  0x5EC81C55, sceAudioChReserve
  0x41EFADE7, sceAudioOneshotOutput
  0x6FC46853, sceAudioChRelease
  0xE9D97901, sceAudioGetChannelRestLen
  0xCB2E439E, sceAudioSetChannelDataLen
  0x95FD0C2D, sceAudioChangeChannelConfig
  0xB7E1D8E7, sceAudioChangeChannelVolume
  0x38553111, sceAudio_38553111
  0x5C37C0AE, sceAudio_5C37C0AE
  0xE0727056, sceAudio_E0727056
  0x086E5895, sceAudioInputBlocking
  0x6D4BEC68, sceAudioInput
  0xA708C6A6, sceAudioGetInputLength
  0x87B2E651, sceAudioWaitInputEnd
  0x7DE61688, sceAudioInputInit
sceAudiocodec
  0x9D3F790C, sceAudiocodeCheckNeedMem
  0x5B37EB1D, sceAudiocodecInit
  0x70A703F8, sceAudiocodecDecode
  0x8ACA11D5, sceAudiocodecGetInfo
  0x6CD2A861, sceAudiocodec_6CD2A861
  0x59176A0F, sceAudiocodec_59176A0F
  0x3A20A200, sceAudiocodecGetEDRAM
  0x29681260, sceAudiocodecReleaseEDRAM
sceAudiocodec_driver
  0x62518B7E, sceAudiocodecStartEntry
sceBLK_driver
  0x6216FF5D, sceBLKInit
  0x06CD0A03, sceBLKTerm
  0x2FD88F7C, sceBLKStart
  0x39150835, sceBLKStop
  0x550511CE, sceBLKRegister
  0x43AEEFB6, sceBLKUnRegister
  0x5E5285A5, sceBLKGetDeviceData
  0xA86B6778, sceBLK_driver_A86B6778
  0x46C91FF8, sceBLKGetUnitNum
  0xDC4A18BC, sceBLKStartFeatures
sceChkreg_driver
  0x54495B19, sceChkreg_driver_54495B19
sceClockgen_driver
  0x29160F5D, sceClockgenInit
  0x36F9B49D, sceClockgenEnd
  0x32C8CA86, sceClockgenGetRevision
  0xB9716D48, sceClockgenGetRegValue
  0x4EB657D5, sceClockgen_driver_4EB657D5
  0x5F8328FD, sceClockgen_driver_5F8328FD
  0xB9FE99D1, sceClockgen_driver_B9FE99D1
  0x7FF82F6F, sceClockgen_driver_7FF82F6F
  0xDBE5F283, sceClockgen_driver_DBE5F283
  0xC9AF3102, sceClockgen_driver_C9AF3102
sceCodec_driver
